incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3210524,"May 10, 2025",California,Paramount,7718 Somerset Blvd,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3210524,https://www.cbsnews.com/losangeles/news/authorities-searching-for-suspect-in-paramount-shooting-that-left-2-women-2-children-hospitalized/
3206682,"May 10, 2025",Pennsylvania,Philadelphia,N 33rd St and W Girard Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3206682,https://www.cbsnews.com/philadelphia/news/septa-bus-shooting-philadelphia-girard-avenue-33rd/
3206957,"May 10, 2025",California,Los Angeles,N/A,0,6,0,0,0,https://www.gunviolencearchive.org/incident/3206957,https://x.com/LosAngeles_Scan/status/1921428105643597955
3206052,"May 9, 2025",Michigan,Eastpointe,8 Mile and Kelly Rd,1,4,0,0,1,https://www.gunviolencearchive.org/incident/3206052,https://www.detroitnews.com/story/news/local/macomb-county/2025/07/24/man-charged-with-killing-1-injuring-4-in-eastpointe-drive-by-shooting/85356147007/
3206048,"May 9, 2025",Michigan,Detroit,15700 block of Patton St,2,2,0,0,1,https://www.gunviolencearchive.org/incident/3206048,https://www.detroitnews.com/story/news/local/detroit-city/2025/05/16/feds-accuse-man-of-opening-fire-during-chaotic-scene-that-ended-with-5-shot-2-dead/83671384007
3205141,"May 7, 2025",Connecticut,Hartford,Nelson St,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3205141,https://www.fox61.com/article/news/local/hartford-county/hartford/hartford-shooting-investigation-nelson-street/520-de58645f-8380-4741-9197-8cbec91cc04a
3203108,"May 6, 2025",Tennessee,Memphis,2536 N Watkins Rd,2,3,0,0,0,https://www.gunviolencearchive.org/incident/3203108,https://www.fox13memphis.com/news/5-shot-2-killed-after-shooting-at-frayser-sports-bar-mpd-says/article_9dc83080-dd54-479c-8c08-ad5dfd78501d.html
3203064,"May 5, 2025",Oklahoma,Oklahoma City,308 NW 10th St,0,7,0,0,3,https://www.gunviolencearchive.org/incident/3203064,https://kfor.com/news/local/three-in-custody-in-midtown-shooting-investigation/
3203683,"May 5, 2025",South Carolina,North Charleston,6800 block of Ward Ave,1,3,1,0,0,https://www.gunviolencearchive.org/incident/3203683,https://abcnews4.com/news/local/coroner-ids-man-and-woman-found-dead-after-alleged-murder-suicide-in-north-charleston-brianna-nelson-travis-wright-bobbi-jo-oneal-wciv-abc-news-4-5-7-2025#
3203390,"May 5, 2025",Pennsylvania,Sharon,317 Baldwin Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3203390,https://www.ncnewsonline.com/news/local_news/police-find-sharon-shooting-suspect-car-in-new-castle/article_29dfd242-7036-445a-8c11-4a41142926e7.html
